,document,term,tfidf
351856,Joan Crawford,new,0.04754004554422059
361350,Joan Crawford,york,0.0459424908173334
345857,Joan Crawford,gehrig,0.0449716413487256
661196,John Gielgud,moreau,0.7353940019009726
658280,John Gielgud,jeanne,0.17136352865484666
660085,John Gielgud,malle,0.13077493984318372
654921,John Gielgud,film,0.09381523881790294
669471,John Gielgud,truffaut,0.09294984276470478
653474,John Gielgud,duras,0.08257987668907285
653765,John Gielgud,elevator,0.08257987668907285
654701,John Gielgud,fassbinder,0.08257987668907285
655612,John Gielgud,gallows,0.08257987668907285
655366,John Gielgud,françois,0.07857287439833158
1487158,John Wayne,mifune,0.8455291433601096
1485303,John Wayne,kurosawa,0.3140536818194693
1492332,John Wayne,samurai,0.15702684090973465
1484582,John Wayne,japanese,0.14427403245185333
1495523,John Wayne,toshiro,0.10871088986058554
1497560,John Wayne,yojimbo,0.07982818518302263
1473596,John Wayne,akira,0.07247392657372369
1495432,John Wayne,toho,0.06652348765251886
1481257,John Wayne,film,0.0665053893948607
1484581,John Wayne,japan,0.04890774817544198
629739,Judy Garland,gabin,0.7994253411102181
632453,Judy Garland,jean,0.19663005489128968
633388,Judy Garland,le,0.11857563461380513
629585,Judy Garland,french,0.11267002967694417
627673,Judy Garland,duvivier,0.11192285365242124
636887,Judy Garland,paris,0.09383184737144915
626954,Judy Garland,dietrich,0.0874459401832002
633158,Judy Garland,la,0.08176884511239525
639257,Judy Garland,renoir,0.0797475175342486
624304,Judy Garland,carné,0.07970678017737252
6880,Julie Andrews,delon,0.9134722801525171
14703,Julie Andrews,marković,0.08175491253207312
1693,Julie Andrews,alain,0.07797877342315726
9833,Julie Andrews,french,0.07154034970093502
9346,Julie Andrews,film,0.07017451502508865
9757,Julie Andrews,france,0.06546564188400465
13636,Julie Andrews,le,0.0557436617279485
17157,Julie Andrews,paroles,0.05450327502138208
20633,Julie Andrews,schneider,0.05034886583517811
17939,Julie Andrews,pompidou,0.04948210137648462
854948,Katharine Hepburn,bacall,0.8735338858997617
855839,Katharine Hepburn,bogart,0.2342446980753557
865745,Katharine Hepburn,lauren,0.1021066632636166
872136,Katharine Hepburn,robards,0.09969984959186824
861505,Katharine Hepburn,film,0.08809458056054802
863259,Katharine Hepburn,hawks,0.05429544437818771
868316,Katharine Hepburn,new,0.04944403849084598
877810,Katharine Hepburn,york,0.045267632737167926
855250,Katharine Hepburn,bazaar,0.04431104426305255
863184,Katharine Hepburn,harper,0.04216095076587149
914124,Klaus Kinski,gish,0.8370884991516659
917714,Klaus Kinski,lillian,0.3010954426758175
913151,Klaus Kinski,film,0.12373542593666892
914467,Klaus Kinski,griffith,0.10451955133208404
